GEOID,totp,medincome,pmale,pwhite,pblk,pasn,phisp,poor,punemp,pcol,p65old,NAME,lifeexp,popd,parks,envind,costb,hins
6067008128,2438,62557,0.49097621000820346,0.8289581624282198,0,0,0.1616078753076292,Low,0.016789087093389297,0.19932432432432431,0.14520098441345364,Other,76.4,6349.34,4,9,0.266,0.11720000000000001
6067008129,3059,62658,0.4867603792088918,0.7718208564890487,0.02353710362863681,0.006211180124223602,0.15724092840797646,Low,0.12330946698488465,0.12777777777777777,0.18404707420725727,Other,78.3,7732.5,2,12,0.265,0.21030000000000001
6067008130,3769,64199,0.44972141151499073,0.7187582913239586,0.10692491377023083,0.01114353940037145,0.07084107190236137,Low,0.0967741935483871,0.21396993810786913,0.10453701247015124,Other,80,5692.15,5,13,0.29,0.11220000000000001
6067008131,5329,42655,0.5132294989679115,0.7682492024770126,0.0570463501595046,0.02270594858322387,0.10921373616063051,Low,0.13842058562555457,0.14107192446542627,0.15425032839181835,Other,78.5,4371.09,7,22,0.20600000000000002,0.1604
6067008132,3787,61830,0.4594665962503301,0.7937681542117772,0.01082651175072617,0.020068655928175336,0.10668074993398469,Low,0.060689655172413794,0.17677902621722846,0.24980195405334038,Citrus Heights,79.5,4884.16,4,21,0.233,0.07730000000000001
6067008133,2548,28785,0.5,0.6546310832025117,0.1283359497645212,0.054552590266875985,0.08163265306122448,Low,0.12605042016806722,0.19218651543793322,0.14678178963893249,Other,77,7599.92,4,23,0.205,0.11800000000000001
6067008134,4674,50032,0.4676936243046641,0.751604621309371,0.058194266153187846,0.05455712451861361,0.09927257167308515,Low,0.06706652126499454,0.21573857952650882,0.11681643132220795,Other,76.2,7418.96,6,24,0.23399999999999999,0.10769999999999999
6067008135,4174,43045,0.3833253473885961,0.7426928605654048,0.01892668902731193,0.04264494489698131,0.1377575467177767,Low,0.12548512289780078,0.24497869750456483,0.3109726880689986,Citrus Heights,76.7,7351.05,6,25,0.26,0.12390000000000001
6067008136,2215,44643,0.36975169300225735,0.7765237020316027,0.05914221218961625,0.021218961625282168,0.06772009029345373,Low,0.06589958158995816,0.3036227717078781,0.2505643340857788,Citrus Heights,72.9,4082.65,4,25,0.257,0.172
6067008137,2202,46213,0.5490463215258855,0.821071752951862,0.10036330608537693,0.023614895549500452,0.04586739327883742,Low,0.11379310344827587,0.21774701069855254,0.2025431425976385,Other,79.1,5807.07,2,28,0.245,0.12140000000000001
